family,file,p,resid_p,delta,resid_delta
Contrastive,sweep2d_gemma_L2_Age__Arabic_fineweb_60deg.pkl,2.111758851876818,0.01632906103103388,-0.032757781859454015,0.0176189604983264
Contrastive,sweep2d_gemma_L2_Age__Chinese_fineweb_60deg.pkl,2.4188532055248513,0.01613495443597773,-0.10143610171085618,0.020601730209884022
Contrastive,sweep2d_gemma_L2_Age__Cpp_fineweb_60deg.pkl,2.1957059167702635,0.005333705528405597,-0.0542445578285616,0.00638994761760311
Contrastive,sweep2d_gemma_L2_Age__Dutch_fineweb_60deg.pkl,2.5343971476530003,0.005229074579799908,-0.12213601129750914,0.01079194798064308
Contrastive,sweep2d_gemma_L2_Age__Era_fineweb_60deg.pkl,2.202658717714649,0.010751813586063136,-0.06062630031836476,0.008812326824031838
Contrastive,sweep2d_gemma_L2_Age__French_fineweb_60deg.pkl,2.408138611249625,0.005858990173948864,-0.09982373394437327,0.009702781329685954
Contrastive,sweep2d_gemma_L2_Age__German_fineweb_60deg.pkl,2.5399328549587072,0.008742477015803253,-0.12369432982164615,0.01293232503361024
Contrastive,sweep2d_gemma_L2_Age__Go_fineweb_60deg.pkl,2.1117041922470805,0.008061826610188862,-0.03225764116692762,0.009017584993851621
Contrastive,sweep2d_gemma_L2_Age__Haskell_fineweb_60deg.pkl,2.1351915563373245,0.006728636036928434,-0.038147234453985726,0.008279453616681563
Contrastive,sweep2d_gemma_L2_Age__Honesty_fineweb_60deg.pkl,2.023498929370184,0.0186601993845833,-0.010102301842325991,0.018482057320364058
Contrastive,sweep2d_gemma_L2_Age__Italian_fineweb_60deg.pkl,2.364675258102068,0.010865533411689353,-0.0913957477733065,0.014635621152409248
Contrastive,sweep2d_gemma_L2_Age__Japanese_fineweb_60deg.pkl,2.4210588283813643,0.015221937813878851,-0.10262778970818033,0.019776869628289236
Contrastive,sweep2d_gemma_L2_Age__JavaScript_fineweb_60deg.pkl,2.136996155986207,0.00779545381479711,-0.03876922160703875,0.009122231497124827
Contrastive,sweep2d_gemma_L2_Age__Java_fineweb_60deg.pkl,2.1157158081015113,0.005350311448994474,-0.033075100038965355,0.0066519357496690025
Contrastive,sweep2d_gemma_L2_Age__Lisp_fineweb_60deg.pkl,1.9284207971108338,0.010881291209786287,0.022632570658446698,0.01113009422954669
Contrastive,sweep2d_gemma_L2_Age__Literary_fineweb_60deg.pkl,1.919833122677111,0.0038329968809786524,0.02767326143687376,0.003328366298934342
Contrastive,sweep2d_gemma_L2_Age__Number_fineweb_60deg.pkl,2.0452920956945175,0.013204571915759352,-0.020523391621530118,0.012638707416976234
Contrastive,sweep2d_gemma_L2_Age__Person_fineweb_60deg.pkl,2.1888403190213253,0.014184112802619888,-0.05829862780983663,0.013658181900603927
Contrastive,sweep2d_gemma_L2_Age__Portuguese_fineweb_60deg.pkl,2.4937148385596166,0.010311562417427771,-0.11353608084591435,0.01594215491918909
Contrastive,sweep2d_gemma_L2_Age__Python_fineweb_60deg.pkl,2.068225959321459,0.007352542102731186,-0.019690986954736738,0.008174435309428412
Contrastive,sweep2d_gemma_L2_Age__Refusal_fineweb_60deg.pkl,2.150896340558437,0.00434577557910655,-0.04373492022084571,0.004810044310294706
Contrastive,sweep2d_gemma_L2_Age__Russian_fineweb_60deg.pkl,2.563243594469168,0.02108801770262145,-0.1310172113320386,0.024849509798398766
Contrastive,sweep2d_gemma_L2_Age__Rust_fineweb_60deg.pkl,2.299648434363237,0.002796522916730482,-0.0784039309389753,0.005488186876330654
